"","caseid","tea_supp","defsppr_self","spsrvpr_ssself","guarpr_self","immig_checks","wiretap","gun_control","aidblack_self","libcpre_self","white","dem_edu","tea_supp.1","fox","gender_respondent_x","dem_age_r_x","inc_incgroup_pre","Obama","Auth","bornagain","church","republican","trad_adjust","trad_lifestyle","trad_tolerant","trad_famval"
"1",1,1,NA,5,NA,3,NA,3,7,1,"Non-white",3,1,"Watches Fox","2. female",86,2,100,NA,"1. yes","1. yes",1,NA,NA,NA,NA
"2",2,0,1,5,7,2,1,3,NA,1,"Non-white",4,0,"Watches Fox","1. male",79,NA,100,0.75,"2. no","2. no",1,1,1,1,2
"3",3,0,NA,6,6,3,2,2,NA,NA,"Non-white",10,0,"Watches Fox","2. female",72,3,100,0.75,"1. yes","1. yes",1,2,2,1,5
"4",4,0,NA,NA,4,2,1,2,7,NA,"Non-white",10,0,"Does not watch Fox","2. female",54,2,100,NA,"1. yes","1. yes",1,5,5,2,5
"5",5,0,4,5,5,3,2,2,7,2,"Non-white",9,0,"Does not watch Fox","1. male",35,13,100,0.75,NA,"2. no",3,1,2,2,2
"6",6,NA,NA,NA,NA,NA,2,NA,NA,NA,"Non-white",4,NA,"Does not watch Fox","1. male",80,2,100,0.25,NA,"2. no",4,3,3,3,3
"7",7,0,NA,NA,4,3,1,2,NA,NA,"Non-white",7,0,NA,"2. female",50,1,100,1,"2. no","1. yes",1,4,3,1,5
"8",8,1,NA,NA,NA,3,2,2,6,NA,"Non-white",7,1,"Watches Fox","2. female",70,1,100,1,"2. no","1. yes",3,5,3,1,2
"9",9,0,4,4,5,3,2,3,4,4,"Non-white",13,0,"Does not watch Fox","2. female",22,NA,85,NA,NA,"1. yes",1,2,5,2,4
"10",10,1,4,3,3,3,1,2,2,6,"White",16,1,"Watches Fox","1. male",49,9,40,NA,"2. no","1. yes",6,4,4,2,4
"11",11,0,3,3,2,3,2,3,2,4,"White",13,0,"Does not watch Fox","1. male",NA,27,40,0,"2. no","1. yes",5,5,4,3,4
"12",12,0,5,3,3,1,2,2,2,5,"White",14,0,"Does not watch Fox","1. male",47,27,40,0.75,"2. no","2. no",5,4,4,2,2
"13",13,0,5,4,2,2,2,3,1,3,"White",10,0,"Watches Fox","2. female",64,24,60,0.5,"1. yes","1. yes",2,5,4,3,5
"14",14,0,NA,NA,4,1,NA,3,2,4,"White",10,0,"Does not watch Fox","2. female",56,15,30,0.75,"1. yes","1. yes",4,2,4,2,5
"15",15,1,5,1,1,3,2,2,1,6,"White",13,1,"Does not watch Fox","2. female",59,25,15,0.5,"2. no","1. yes",7,5,5,2,5
"16",16,1,5,3,1,3,NA,2,1,6,"White",14,1,"Watches Fox","1. male",61,NA,0,NA,NA,"2. no",6,4,NA,3,4
"17",17,1,5,1,1,3,1,2,1,6,"White",14,1,"Watches Fox","1. male",51,26,0,0.25,"1. yes","1. yes",6,5,5,4,5
"18",18,0,NA,NA,NA,1,1,2,NA,NA,"White",9,0,"Does not watch Fox","2. female",61,7,85,1,"2. no","1. yes",1,4,4,1,5
"19",19,0,4,NA,NA,3,2,3,3,NA,"White",7,0,"Does not watch Fox","2. female",34,NA,60,NA,"1. yes","1. yes",6,2,3,2,4
"20",20,0,NA,NA,NA,1,2,2,7,3,"Non-white",7,0,"Does not watch Fox","2. female",48,7,100,NA,"1. yes","2. no",3,1,4,1,5
"21",21,1,4,3,3,2,1,1,4,6,"White",10,1,"Watches Fox","1. male",25,9,40,0.5,NA,"2. no",7,4,1,1,3
"22",22,0,NA,NA,NA,1,1,2,4,NA,"White",9,0,NA,"2. female",34,1,0,0.5,"2. no","1. yes",3,1,4,3,3
"23",23,NA,5,3,NA,3,2,2,5,3,"White",9,NA,"Does not watch Fox","1. male",29,11,40,NA,"1. yes","1. yes",2,3,4,3,5
"24",24,NA,6,NA,NA,1,NA,2,NA,NA,"White",4,NA,"Watches Fox","2. female",85,2,70,NA,"1. yes","1. yes",1,NA,NA,NA,NA
"25",25,0,4,3,3,NA,2,2,4,5,"White",3,0,"Does not watch Fox","1. male",77,13,60,1,"1. yes","1. yes",4,5,5,4,5
"26",26,0,5,NA,4,3,NA,2,3,4,"White",10,0,"Watches Fox","1. male",51,NA,50,NA,"2. no","1. yes",2,NA,NA,NA,NA
"27",27,1,4,2,NA,2,2,2,NA,6,"White",10,1,"Watches Fox","1. male",53,9,40,1,"2. no","1. yes",5,5,5,5,5
"28",28,1,4,1,2,3,2,3,4,5,"White",10,1,"Watches Fox","2. female",83,NA,15,NA,"2. no","1. yes",7,3,5,1,5
"29",29,0,4,NA,2,2,1,2,2,NA,"White",7,0,"Does not watch Fox","1. male",56,14,50,NA,"2. no","2. no",4,2,4,3,4
"30",30,0,3,5,4,3,1,2,5,5,"White",10,0,NA,"1. male",53,3,70,0.25,NA,"2. no",3,1,3,2,3
"31",31,0,4,5,NA,1,2,3,3,5,"Non-white",13,0,"Watches Fox","2. female",52,23,85,0.25,"1. yes","1. yes",3,1,2,1,4
"32",32,0,4,4,4,2,2,2,4,4,"Non-white",10,0,"Does not watch Fox","2. female",36,18,85,0.75,NA,"1. yes",3,2,4,2,3
"33",33,0,3,6,NA,2,2,3,4,NA,"Non-white",10,0,"Does not watch Fox","2. female",74,9,50,0.5,NA,"2. no",3,1,3,1,5
"34",34,0,NA,NA,4,2,2,3,NA,NA,"Non-white",9,0,"Does not watch Fox","2. female",NA,NA,60,1,"2. no","2. no",3,1,5,3,3
"35",35,0,4,4,3,1,2,2,3,NA,"Non-white",9,0,"Does not watch Fox","1. male",54,15,85,0.5,"2. no","1. yes",2,1,5,1,5
"36",36,1,7,7,3,1,2,1,1,1,"Non-white",12,1,"Does not watch Fox","2. female",45,4,60,0.25,NA,"2. no",4,2,1,1,1
"37",37,0,5,5,3,1,2,2,4,NA,"Non-white",12,0,"Does not watch Fox","2. female",30,13,85,NA,NA,"2. no",3,1,5,1,4
"38",38,1,4,4,6,1,2,2,7,NA,"Non-white",7,1,"Does not watch Fox","2. female",18,4,85,1,"2. no","1. yes",3,2,4,1,3
"39",39,0,2,NA,NA,3,1,3,1,NA,"Non-white",10,0,"Does not watch Fox","2. female",39,11,85,0.25,NA,"2. no",2,3,3,1,2
"40",40,NA,NA,4,1,2,1,3,NA,3,"Non-white",11,NA,"Does not watch Fox","2. female",21,1,85,1,"2. no","1. yes",4,1,5,1,4
"41",41,1,5,3,3,1,2,3,2,5,"Non-white",13,1,"Does not watch Fox","2. female",43,26,15,0.25,"2. no","1. yes",7,4,4,3,4
"42",42,0,6,3,3,NA,1,3,NA,3,"White",13,0,"Does not watch Fox","2. female",51,NA,90,NA,"1. yes","1. yes",1,5,4,1,4
"43",43,0,4,6,4,3,2,3,NA,4,"Non-white",13,0,"Does not watch Fox","2. female",32,23,70,0.5,"2. no","1. yes",2,1,4,3,4
"44",44,1,7,2,1,1,3,2,2,6,"White",13,1,"Watches Fox","2. female",64,8,0,NA,"2. no","1. yes",5,5,5,2,4
"45",45,0,4,3,2,3,2,2,3,6,"White",9,0,"Watches Fox","2. female",32,22,15,0,"2. no","1. yes",6,5,3,3,2
"46",46,0,3,2,2,3,NA,2,4,7,"Non-white",13,0,NA,"2. female",49,11,15,0.75,"1. yes","1. yes",6,5,3,3,4
"47",47,1,7,3,2,3,3,2,1,5,"White",13,1,"Does not watch Fox","2. female",30,26,15,0.75,"1. yes","1. yes",7,5,5,5,5
"48",48,0,6,1,1,3,2,2,1,6,"White",13,0,"Does not watch Fox","1. male",62,25,0,0.75,NA,"2. no",5,5,5,2,5
"49",49,0,5,5,5,2,2,2,NA,5,"White",10,0,"Does not watch Fox","2. female",30,17,15,0.75,"2. no","1. yes",6,2,2,1,1
"50",50,1,6,1,2,3,2,2,2,6,"Non-white",10,1,"Watches Fox","2. female",61,19,0,NA,"1. yes","1. yes",7,4,5,2,5
"51",51,NA,4,4,4,1,2,3,4,5,"Non-white",10,NA,NA,"1. male",40,13,85,NA,"1. yes","1. yes",2,4,NA,2,5
"52",52,NA,4,4,2,3,1,2,1,6,"White",12,NA,NA,"1. male",42,NA,15,0.75,"1. yes","1. yes",6,5,5,5,5
"53",53,1,1,2,3,1,1,1,1,1,"Non-white",10,1,NA,"2. female",33,23,0,0.25,NA,"2. no",5,2,2,1,4
"54",54,NA,6,6,4,3,2,2,1,NA,"White",10,NA,"Does not watch Fox","2. female",30,18,30,0.5,"2. no","2. no",4,2,5,2,5
"55",55,0,NA,NA,NA,2,2,1,1,4,"Non-white",9,0,NA,"1. male",48,NA,0,NA,NA,"2. no",4,2,2,2,5
"56",56,1,4,4,NA,2,2,2,5,2,"Non-white",8,1,NA,"1. male",34,17,100,1,"2. no","1. yes",1,1,5,4,5
"57",57,0,5,3,1,2,1,2,3,5,"Non-white",9,0,"Watches Fox","2. female",50,11,60,0.5,"2. no","1. yes",7,2,5,1,4
"58",58,0,3,2,2,1,1,1,1,NA,"Non-white",10,0,NA,"2. female",51,15,70,1,"2. no","1. yes",2,2,4,1,5
"59",59,0,5,5,3,2,2,3,5,4,"White",13,0,"Does not watch Fox","1. male",65,17,70,0.25,"2. no","2. no",2,5,5,2,4
"60",60,0,4,5,4,2,2,3,1,2,"White",14,0,"Does not watch Fox","1. male",77,15,70,NA,NA,"2. no",1,2,2,2,4
"61",61,1,7,1,1,3,2,1,1,7,"White",6,1,"Watches Fox","1. male",39,22,0,0.75,NA,"2. no",7,3,4,3,4
"62",62,0,2,7,7,3,1,3,7,1,"Non-white",5,0,"Watches Fox","1. male",72,19,100,0.5,NA,"2. no",1,2,4,1,4
"63",63,0,1,7,7,1,1,3,7,1,"White",4,0,"Does not watch Fox","2. female",49,11,70,0.5,NA,"2. no",1,1,1,1,1
"64",64,NA,5,3,3,3,2,2,NA,6,"White",13,NA,"Does not watch Fox","2. female",49,18,30,0.5,"2. no","1. yes",7,4,1,4,2
"65",65,0,5,4,1,3,NA,2,2,4,"White",10,0,"Does not watch Fox","1. male",24,NA,50,1,NA,"2. no",5,1,1,2,3
"66",66,0,1,4,7,2,1,2,NA,NA,"Non-white",9,0,NA,"2. female",19,9,15,0.5,NA,"2. no",4,4,5,1,3
"67",67,0,5,5,5,NA,NA,3,4,2,"White",NA,0,"Does not watch Fox","2. female",80,NA,85,0,"2. no","2. no",1,2,3,1,4
"68",68,NA,4,6,6,1,2,3,5,3,"Non-white",12,NA,"Does not watch Fox","2. female",22,18,90,1,"1. yes","1. yes",1,3,5,2,4
"69",69,0,4,3,6,3,NA,3,5,NA,"Non-white",9,0,"Does not watch Fox","1. male",19,7,70,1,NA,"2. no",2,2,4,2,4
"70",70,0,3,5,7,NA,2,3,1,6,"Non-white",12,0,NA,"2. female",55,NA,85,NA,"2. no","1. yes",2,4,2,1,2
"71",71,NA,4,4,4,1,1,2,NA,4,"Non-white",10,NA,"Does not watch Fox","1. male",30,NA,70,NA,NA,"1. yes",3,2,4,2,5
"72",72,0,5,5,4,1,2,2,3,4,"Non-white",9,0,"Does not watch Fox","1. male",49,9,85,0.25,"2. no","1. yes",1,2,3,3,5
"73",73,0,3,3,4,2,1,1,4,4,"White",10,0,"Does not watch Fox","1. male",23,NA,0,NA,NA,"2. no",4,2,4,1,3
"74",74,0,1,7,7,3,1,2,5,NA,"Non-white",8,0,"Does not watch Fox","2. female",71,NA,100,0.5,NA,"2. no",1,1,5,1,5
"75",75,0,4,2,2,3,2,3,1,5,"White",10,0,"Does not watch Fox","2. female",43,21,15,0.75,"2. no","1. yes",6,5,2,2,3
"76",76,0,4,6,1,1,3,2,1,4,"Non-white",14,0,"Watches Fox","2. female",NA,NA,30,0.75,"2. no",NA,2,2,4,3,4
"77",77,0,4,5,4,3,2,2,1,5,"White",10,0,"Does not watch Fox","2. female",53,21,30,0.75,"1. yes","1. yes",5,5,5,3,5
"78",78,0,NA,2,1,1,2,2,1,NA,"White",9,0,"Does not watch Fox","2. female",29,11,70,0.75,"2. no","1. yes",4,3,3,2,4
"79",79,0,NA,NA,3,3,NA,2,NA,NA,"White",9,0,NA,"1. male",40,23,30,NA,"2. no","2. no",7,3,3,3,5
"80",80,NA,3,4,4,NA,2,1,3,3,"White",9,NA,"Does not watch Fox","1. male",18,25,80,0.5,NA,"2. no",2,5,4,4,4
"81",81,0,2,6,4,2,2,3,6,2,"Non-white",13,0,"Does not watch Fox","1. male",57,26,100,0,NA,"2. no",1,1,3,2,3
"82",82,0,4,NA,NA,3,NA,2,1,NA,"White",9,0,"Does not watch Fox","1. male",52,19,65,NA,"2. no","1. yes",4,NA,NA,NA,NA
"83",83,0,5,5,4,1,1,2,3,2,"White",16,0,NA,"1. male",63,16,85,0,NA,"2. no",1,2,1,2,2
"84",84,NA,6,4,2,3,NA,2,3,4,"Non-white",9,NA,NA,"1. male",NA,23,NA,NA,NA,"2. no",4,2,3,3,3
"85",85,1,3,7,4,2,2,1,4,2,"White",13,1,"Does not watch Fox","2. female",NA,NA,50,NA,NA,"1. yes",7,4,2,2,4
"86",86,0,4,4,2,3,2,2,1,3,"White",13,0,"Watches Fox","1. male",NA,NA,100,0,"2. no","1. yes",2,4,2,2,5
"87",87,1,NA,NA,7,2,2,2,7,NA,"Non-white",9,1,"Does not watch Fox","2. female",22,NA,85,1,"2. no","1. yes",2,4,5,2,4
"88",88,1,4,NA,5,3,2,2,NA,6,"White",10,1,"Does not watch Fox","2. female",28,11,85,NA,"2. no","2. no",5,2,4,3,5
"89",89,0,4,2,3,3,2,2,3,5,"Non-white",10,0,"Does not watch Fox","1. male",26,7,30,0,NA,"2. no",6,3,3,3,4
"90",90,1,3,4,2,3,1,2,1,4,"Non-white",9,1,"Does not watch Fox","1. male",56,7,40,NA,NA,"2. no",5,3,3,2,4
"91",91,1,6,1,1,3,1,2,1,7,"White",9,1,"Watches Fox","1. male",56,26,30,1,"2. no","2. no",7,4,5,4,5
"92",92,0,6,2,2,3,2,3,2,6,"White",10,0,"Watches Fox","2. female",84,15,15,0.5,"2. no","1. yes",7,2,4,2,5
"93",93,0,3,6,5,3,NA,2,4,NA,"White",7,0,"Watches Fox","2. female",51,14,0,NA,"1. yes","2. no",3,NA,NA,NA,NA
"94",94,NA,2,4,6,3,3,3,1,5,"White",7,NA,"Does not watch Fox","1. male",34,12,70,1,"2. no","1. yes",2,2,5,3,4
"95",95,0,5,3,3,3,1,2,5,5,"Non-white",10,0,"Does not watch Fox","1. male",28,NA,40,0.25,NA,"2. no",5,2,2,3,4
"96",96,0,5,5,4,1,2,3,4,NA,"Non-white",10,0,"Does not watch Fox","2. female",48,25,85,NA,"1. yes","1. yes",1,1,5,5,2
"97",97,0,4,3,2,2,2,2,2,4,"White",9,0,"Watches Fox","2. female",49,7,70,0.5,"1. yes","1. yes",6,5,5,4,5
"98",98,1,NA,NA,5,2,NA,2,3,NA,"White",13,1,"Does not watch Fox","2. female",43,NA,0,1,"2. no","1. yes",7,5,4,3,5
"99",99,NA,1,NA,7,2,NA,3,1,NA,"Non-white",12,NA,"Does not watch Fox","1. male",52,10,30,NA,"1. yes","2. no",3,4,5,3,5
"100",100,0,6,NA,3,3,2,2,2,4,"White",9,0,"Watches Fox","2. female",70,17,85,0.5,"2. no","1. yes",4,4,5,1,5
"101",101,1,5,3,3,3,3,2,2,4,"White",9,1,"Watches Fox","1. male",43,19,30,0.75,NA,"1. yes",6,2,4,3,4
"102",102,0,7,4,3,3,3,3,4,6,"White",13,0,"Watches Fox","2. female",50,13,0,0.75,"1. yes","1. yes",7,5,5,5,5
"103",103,NA,4,4,4,3,1,3,1,5,"White",12,NA,"Does not watch Fox","2. female",35,13,30,0.75,"1. yes","2. no",7,4,5,3,5
"104",104,0,4,4,4,3,2,2,2,NA,"White",9,0,"Does not watch Fox","1. male",28,NA,30,0.5,"1. yes","1. yes",6,4,3,3,4
"105",105,1,7,5,1,3,2,2,2,7,"White",9,1,"Watches Fox","1. male",61,19,0,NA,"1. yes","1. yes",7,5,5,1,5
"106",106,1,1,3,2,3,2,2,4,2,"White",12,1,"Does not watch Fox","1. male",56,7,70,NA,NA,"2. no",3,4,3,2,4
"107",107,0,5,7,4,3,2,3,7,NA,"Non-white",12,0,"Does not watch Fox","2. female",31,13,100,0.5,"1. yes","1. yes",1,2,3,2,4
"108",108,0,5,4,4,1,2,3,4,4,"Non-white",13,0,"Does not watch Fox","1. male",49,17,85,0.75,"1. yes","1. yes",2,2,4,2,4
"109",109,0,5,5,5,3,NA,3,7,NA,"Non-white",12,0,"Does not watch Fox","2. female",30,9,100,NA,"2. no","1. yes",1,NA,NA,NA,NA
"110",110,0,NA,NA,4,2,2,2,4,NA,"Non-white",7,0,"Watches Fox","2. female",33,1,100,NA,NA,"1. yes",1,4,4,1,4
"111",111,0,4,NA,5,3,2,3,4,NA,"Non-white",10,0,NA,"2. female",42,12,100,0.5,"2. no","1. yes",1,2,2,2,4
"112",112,0,6,7,2,1,2,2,7,NA,"Non-white",9,0,"Does not watch Fox","2. female",71,2,100,1,"1. yes","1. yes",1,2,4,1,4
"113",113,0,NA,5,7,1,2,3,5,3,"Non-white",13,0,"Does not watch Fox","2. female",34,14,100,0.5,"1. yes","1. yes",1,2,4,1,5
"114",114,1,6,3,2,3,2,2,6,6,"Non-white",14,1,"Watches Fox","1. male",70,9,40,1,"1. yes","1. yes",5,2,5,2,5
"115",115,0,6,4,4,3,3,3,4,3,"White",13,0,"Does not watch Fox","2. female",33,23,85,0.25,"2. no","1. yes",2,2,1,2,1
"116",116,0,NA,7,7,3,NA,3,7,NA,"Non-white",2,0,"Does not watch Fox","2. female",74,4,85,NA,"1. yes","1. yes",1,NA,NA,NA,NA
"117",117,NA,6,4,5,2,2,2,3,4,"White",9,NA,"Does not watch Fox","2. female",66,3,100,NA,"2. no","1. yes",2,3,4,3,5
"118",118,0,4,1,1,3,2,2,1,7,"White",9,0,"Watches Fox","1. male",50,15,60,0.75,"2. no","2. no",1,1,3,4,5
"119",119,0,1,NA,NA,2,2,3,7,NA,"White",NA,0,NA,"1. male",28,7,100,0.25,"1. yes","1. yes",2,1,5,1,4
"120",120,1,4,3,4,3,1,2,4,6,"White",14,1,"Does not watch Fox","2. female",65,9,60,0,"2. no","1. yes",5,5,5,2,5
"121",121,0,4,4,4,3,2,3,4,NA,"White",12,0,"Does not watch Fox","1. male",78,17,100,0.75,"2. no","1. yes",1,3,4,2,5
"122",122,0,5,5,4,3,2,1,NA,NA,"White",13,0,"Does not watch Fox","1. male",75,11,15,0.75,"2. no","2. no",3,2,2,2,4
"123",123,1,3,7,7,1,NA,2,5,2,"Non-white",3,1,"Does not watch Fox","1. male",73,3,100,NA,"1. yes","1. yes",1,NA,NA,NA,NA
"124",124,0,4,7,5,3,2,2,NA,2,"White",9,0,"Watches Fox","1. male",62,15,85,0.5,"1. yes","1. yes",2,5,5,5,5
"125",125,1,5,2,1,3,1,2,NA,7,"White",9,1,"Watches Fox","1. male",71,7,50,1,NA,"2. no",7,2,5,2,5
"126",126,0,2,4,3,1,NA,3,3,NA,"White",13,0,"Watches Fox","1. male",84,12,70,NA,NA,"2. no",2,NA,NA,NA,NA
"127",127,0,5,5,5,3,NA,3,4,5,"White",10,0,NA,"2. female",52,3,70,0.25,"1. yes","1. yes",3,2,3,4,4
"128",128,1,NA,NA,4,3,2,3,4,4,"Non-white",9,1,"Does not watch Fox","2. female",52,12,85,1,NA,"2. no",1,2,3,2,5
"129",129,NA,4,6,7,2,2,3,7,NA,"Non-white",9,NA,"Does not watch Fox","1. male",24,11,85,NA,"2. no","1. yes",4,2,3,2,3
"130",130,0,5,5,2,3,2,2,5,3,"White",12,0,"Does not watch Fox","2. female",34,NA,50,0.75,NA,"2. no",5,2,2,3,3
"131",131,0,3,4,4,1,2,2,4,2,"White",15,0,"Does not watch Fox","1. male",78,20,100,0,"2. no","1. yes",1,3,2,2,5
"132",132,0,4,5,4,3,2,3,4,3,"White",10,0,"Watches Fox","2. female",41,17,85,NA,"2. no","2. no",3,2,2,1,2
"133",133,0,6,5,4,3,2,3,4,3,"Non-white",13,0,"Does not watch Fox","2. female",47,18,100,NA,"2. no","1. yes",1,1,5,2,5
"134",134,0,4,4,2,3,2,3,5,4,"Non-white",12,0,"Watches Fox","2. female",20,14,70,NA,NA,"1. yes",4,1,4,1,5
"135",135,NA,NA,4,4,NA,NA,3,3,4,"White",13,NA,"Watches Fox","2. female",41,NA,70,0.5,NA,"1. yes",3,2,3,1,3
"136",136,NA,3,5,2,3,NA,2,1,NA,"White",11,NA,"Does not watch Fox","2. female",36,11,50,NA,"2. no","1. yes",4,1,3,4,4
"137",137,1,5,3,2,3,2,2,2,7,"White",9,1,"Watches Fox","2. female",84,9,0,0.25,"2. no","1. yes",5,4,5,4,5
"138",138,NA,1,7,7,3,2,3,4,NA,"Non-white",8,NA,"Does not watch Fox","2. female",27,NA,85,1,"2. no","1. yes",1,1,3,2,5
"139",139,0,4,5,4,2,2,3,4,2,"Non-white",10,0,"Watches Fox","2. female",41,12,100,1,"1. yes","1. yes",3,3,3,2,4
"140",140,1,4,3,3,3,1,NA,2,5,"Non-white",10,1,"Does not watch Fox","1. male",42,25,60,0.25,"2. no","1. yes",5,2,3,1,4
"141",141,0,NA,3,4,3,2,2,3,4,"White",9,0,"Watches Fox","1. male",33,22,40,0.5,"2. no","2. no",5,2,3,2,3
"142",142,0,5,4,3,3,2,3,2,4,"White",13,0,"Does not watch Fox","1. male",56,22,70,0.25,"2. no","2. no",1,2,3,4,4
"143",143,1,4,2,4,3,2,2,2,5,"White",9,1,"Does not watch Fox","1. male",35,14,40,0.5,NA,"2. no",5,5,4,2,5
"144",144,0,3,3,2,NA,1,3,2,4,"White",13,0,"Does not watch Fox","2. female",36,15,85,0.25,"2. no","1. yes",6,2,2,2,1
"145",145,1,6,1,2,3,2,2,1,3,"White",12,1,"Watches Fox","1. male",41,16,0,1,"1. yes","1. yes",6,3,4,5,5
"146",146,0,NA,4,NA,1,2,2,2,5,"Non-white",13,0,"Does not watch Fox","2. female",56,18,85,0.75,"1. yes","1. yes",1,5,5,2,2
"147",147,0,6,3,5,1,2,3,2,NA,"Non-white",10,0,"Does not watch Fox","1. male",53,22,60,0.75,"1. yes","1. yes",6,5,5,4,5
"148",148,NA,3,5,5,1,2,3,4,2,"Non-white",11,NA,"Watches Fox","2. female",25,10,100,0.5,"1. yes","2. no",1,1,5,1,1
"149",149,0,4,5,4,3,1,3,7,4,"Non-white",12,0,NA,"2. female",32,14,70,NA,"1. yes","1. yes",2,4,3,2,2
"150",150,0,1,7,5,2,2,3,7,2,"Non-white",13,0,"Does not watch Fox","2. female",37,6,100,0.5,"1. yes","1. yes",1,2,5,1,3
"151",151,0,3,5,7,1,1,3,1,4,"Non-white",3,0,"Does not watch Fox","1. male",45,15,70,1,NA,"2. no",2,1,5,2,1
"152",152,NA,4,3,3,3,2,2,2,4,"White",12,NA,NA,"2. female",34,14,30,0.75,"1. yes","1. yes",7,5,5,5,5
"153",153,0,5,3,3,3,2,2,4,6,"White",13,0,"Does not watch Fox","2. female",33,13,30,0.25,"1. yes","1. yes",7,4,4,2,2
"154",154,0,5,4,4,1,1,2,3,4,"White",3,0,"Does not watch Fox","2. female",55,1,40,1,"1. yes","2. no",4,1,4,2,5
"155",155,0,4,7,NA,2,2,2,1,5,"White",9,0,"Does not watch Fox","1. male",62,3,60,0.5,"2. no","1. yes",4,5,1,2,2
"156",156,0,5,5,5,2,NA,2,3,6,"White",8,0,"Does not watch Fox","2. female",64,NA,60,NA,"1. yes","1. yes",2,4,4,2,4
"157",157,0,5,5,5,1,2,2,4,1,"White",10,0,"Does not watch Fox","2. female",54,7,70,1,"1. yes","1. yes",1,5,1,1,4
"158",158,NA,NA,NA,5,3,NA,2,4,NA,"White",8,NA,"Does not watch Fox","2. female",28,NA,30,NA,NA,"2. no",4,NA,NA,NA,NA
"159",159,0,4,3,4,3,2,2,2,4,"White",12,0,"Does not watch Fox","1. male",71,19,85,1,NA,"2. no",2,2,5,3,5
"160",160,NA,4,5,NA,3,2,3,NA,4,"White",7,NA,"Does not watch Fox","2. female",41,11,40,1,"2. no","2. no",3,5,2,3,5
"161",161,0,NA,4,1,3,1,3,2,NA,"White",9,0,NA,"2. female",31,21,50,0.5,NA,"2. no",4,4,3,1,5
"162",162,0,7,4,4,3,3,2,4,4,"White",9,0,"Watches Fox","2. female",72,NA,15,0.5,"1. yes","1. yes",2,5,5,2,5
"163",163,NA,4,NA,3,NA,2,3,NA,4,"White",13,NA,NA,"1. male",28,NA,75,0.75,"2. no","1. yes",NA,3,3,1,3
"164",164,NA,6,7,7,3,2,3,2,6,"Non-white",4,NA,"Does not watch Fox","2. female",46,3,0,0.75,"1. yes","1. yes",2,5,5,5,5
"165",165,0,7,2,3,3,1,2,4,4,"White",11,0,"Does not watch Fox","1. male",32,20,70,0.75,"2. no","1. yes",3,4,3,4,5
"166",166,1,4,1,1,2,3,2,2,6,"White",13,1,"Does not watch Fox","2. female",69,12,0,0.5,"1. yes","1. yes",5,5,5,5,5
"167",167,0,NA,7,NA,2,3,3,NA,NA,"Non-white",9,0,"Watches Fox","2. female",24,3,100,1,NA,"2. no",4,1,4,1,3
"168",168,0,3,1,1,3,2,2,2,3,"White",13,0,"Does not watch Fox","1. male",37,26,50,0.5,NA,"2. no",6,2,5,2,5
"169",169,0,2,5,4,1,1,3,5,2,"White",9,0,"Does not watch Fox","1. male",42,25,70,0.5,"2. no","1. yes",1,2,3,1,3
"170",170,0,1,2,3,1,2,3,3,NA,"Non-white",6,0,NA,"1. male",20,11,60,0.5,"2. no","2. no",3,1,2,2,3
"171",171,1,5,3,4,3,3,1,4,6,"White",13,1,"Watches Fox","1. male",76,11,0,0.5,"1. yes","1. yes",7,5,5,2,5
"172",172,0,3,2,3,1,2,2,4,4,"White",13,0,"Does not watch Fox","1. male",NA,28,60,0.5,"2. no","1. yes",5,1,2,2,2
"173",173,NA,2,2,3,3,2,3,2,6,"White",13,NA,"Does not watch Fox","2. female",73,12,15,0.75,"2. no","1. yes",7,2,4,2,4
"174",174,0,6,3,3,3,2,2,3,5,"White",14,0,"Does not watch Fox","1. male",58,28,15,0.5,"1. yes","1. yes",6,4,4,4,5
"175",175,0,4,5,3,1,2,2,1,5,"White",10,0,"Does not watch Fox","2. female",56,27,60,0.5,"1. yes","1. yes",6,4,4,2,4
"176",176,0,5,NA,4,3,2,2,NA,NA,"White",12,0,"Does not watch Fox","1. male",64,NA,50,0.75,"1. yes","1. yes",5,2,4,1,5
"177",177,0,1,4,2,1,1,3,3,2,"White",10,0,"Does not watch Fox","1. male",23,25,90,NA,NA,"2. no",1,2,1,1,3
"178",178,0,2,5,3,3,1,3,2,3,"White",9,0,"Does not watch Fox","2. female",19,12,30,0.5,"1. yes","2. no",3,2,3,4,4
"179",179,0,4,4,2,1,2,2,2,4,"White",13,0,"Does not watch Fox","2. female",51,20,70,0.25,"1. yes","1. yes",5,2,1,2,2
"180",180,NA,3,5,4,3,1,2,4,3,"White",13,NA,"Does not watch Fox","1. male",82,11,60,1,"2. no","1. yes",3,2,4,4,4
"181",181,0,4,4,4,3,1,2,3,6,"White",13,0,"Does not watch Fox","1. male",58,NA,70,0.5,"2. no","1. yes",7,2,2,2,3
"182",182,0,4,3,7,2,2,2,NA,NA,"Non-white",9,0,"Does not watch Fox","1. male",18,NA,50,1,"1. yes","1. yes",6,2,3,3,3
"183",183,0,4,NA,NA,2,NA,3,NA,4,"White",9,0,"Does not watch Fox","2. female",44,22,70,NA,"2. no","1. yes",3,NA,NA,NA,NA
"184",184,1,5,2,2,3,2,2,2,6,"White",10,1,"Watches Fox","2. female",51,23,60,0.5,"2. no","2. no",5,4,4,2,5
"185",185,0,3,1,2,2,2,2,2,NA,"White",9,0,"Does not watch Fox","1. male",50,23,40,0,NA,"2. no",4,4,3,2,4
