"","caseid","tea_supp","defsppr_self","spsrvpr_ssself","guarpr_self","immig_checks","wiretap","gun_control","aidblack_self","libcpre_self","white","dem_edu","tea_supp.1","fox","gender_respondent_x","dem_age_r_x","inc_incgroup_pre","Obama","Auth","bornagain","church","republican","trad_adjust","trad_lifestyle","trad_tolerant","trad_famval"
"4050",4997,0,4,4,NA,2,2,2,2,4,"White",9,0,"Does not watch Fox","2. female",60,14,40,0.75,"2. no","1. yes",7,3,4,3,4
"4051",4998,0,4,4,2,2,2,3,2,3,"White",10,0,"Does not watch Fox","1. male",62,20,85,0.75,"2. no","2. no",1,5,5,4,4
"4052",4999,0,3,4,5,3,2,2,1,5,"White",NA,0,"Does not watch Fox","2. female",28,15,0,0.5,NA,"2. no",7,3,4,4,3
"4053",5000,0,3,5,2,2,2,3,NA,3,"White",11,0,"Does not watch Fox","2. female",59,23,85,0.5,"1. yes","2. no",1,2,4,1,1
"4054",5001,0,5,1,3,3,2,2,2,5,"Non-white",10,0,"Watches Fox","1. male",76,13,30,1,NA,"2. no",4,3,4,2,4
"4055",5002,0,6,4,3,3,3,3,1,4,"White",NA,0,"Does not watch Fox","2. female",65,21,85,0.75,"2. no","1. yes",2,2,5,5,5
"4056",5003,0,7,7,7,3,NA,2,3,7,"White",9,0,"Does not watch Fox","2. female",52,11,0,NA,"2. no","1. yes",1,NA,NA,NA,NA
"4057",5004,0,2,3,5,3,1,2,5,4,"White",11,0,"Does not watch Fox","1. male",66,9,70,0.25,"1. yes","1. yes",2,2,4,2,5
"4058",5005,0,4,2,3,3,2,2,3,6,"White",15,0,"Does not watch Fox","2. female",68,13,15,1,"1. yes","1. yes",7,5,5,5,5
"4059",5006,0,7,4,7,2,2,3,7,3,"Non-white",10,0,NA,"1. male",61,1,90,0.25,"1. yes","1. yes",1,1,3,2,5
"4060",5007,0,3,6,5,3,1,3,5,4,"White",10,0,"Does not watch Fox","1. male",46,9,82,0,NA,"2. no",3,3,1,2,2
"4061",5008,1,4,3,1,3,2,2,1,6,"White",9,1,"Watches Fox","2. female",62,12,0,0.75,"1. yes","1. yes",7,5,5,3,5
"4062",5009,0,3,2,2,3,2,2,1,6,"White",10,0,"Does not watch Fox","2. female",43,20,35,0.5,"1. yes","1. yes",6,5,4,2,4
"4063",5010,0,4,7,5,2,2,3,NA,4,"White",NA,0,"Does not watch Fox","2. female",52,NA,60,1,"1. yes","1. yes",1,2,2,2,4
"4064",5011,1,7,1,1,3,2,1,1,7,"Non-white",9,1,"Does not watch Fox","1. male",74,15,30,1,"1. yes","1. yes",7,5,5,5,5
"4065",5012,1,5,7,7,3,3,2,7,6,"Non-white",6,1,"Does not watch Fox","2. female",33,1,100,0.75,"1. yes","1. yes",1,2,4,1,3
"4066",5013,0,NA,NA,3,3,2,2,1,4,"White",9,0,"Does not watch Fox","2. female",47,13,50,0.5,"2. no","1. yes",6,4,4,3,4
"4067",5014,0,4,4,4,3,1,2,4,4,"White",12,0,"Does not watch Fox","2. female",67,17,15,0.75,"2. no","1. yes",5,5,2,3,2
"4068",5015,0,5,6,6,2,1,3,6,4,"White",10,0,"Does not watch Fox","2. female",79,4,100,1,"2. no","2. no",1,2,4,2,3
"4069",5016,0,NA,NA,3,2,3,2,4,7,"White",4,0,NA,"1. male",35,28,30,0.25,NA,"2. no",1,5,1,5,1
